time,P,G(i),H_sun,T2m,WS10m,Int
20190114:1910,0.0,0.0,0.0,-1.37,4.0,0.0
20190114:2010,0.0,0.0,0.0,-1.42,3.93,0.0
20190114:2110,0.0,0.0,0.0,-1.23,4.0,0.0
20190114:2210,0.0,0.0,0.0,-0.98,3.79,0.0
20190114:2310,0.0,0.0,0.0,-0.75,4.34,0.0
20190115:0010,0.0,0.0,0.0,-0.63,4.41,0.0
20190115:0110,0.0,0.0,0.0,-0.46,4.48,0.0
20190115:0210,0.0,0.0,0.0,-0.44,4.48,0.0
20190115:0310,0.0,0.0,0.0,-0.39,4.62,0.0
20190115:0410,0.0,0.0,0.0,-0.51,4.69,0.0
20190115:0510,0.0,0.0,0.0,-0.49,4.69,0.0
20190115:0610,0.0,0.0,0.0,-0.17,4.76,0.0
20190115:0710,0.0,0.0,0.0,0.05,4.62,0.0
20190115:0810,207.48,240.59,6.48,0.29,4.62,0.0
20190115:0910,154.7,184.28,12.31,0.63,4.62,0.0
20190115:1010,38.18,58.03,16.25,1.28,5.1,0.0
20190115:1110,71.81,96.63,17.97,2.01,5.03,0.0
20190115:1210,94.45,121.7,17.28,2.6,5.03,0.0
20190115:1310,52.54,75.04,14.26,2.86,5.17,0.0
20190115:1410,42.69,63.55,9.19,2.87,4.41,0.0
20190115:1510,0.0,1.81,2.48,2.99,5.24,0.0
20190115:1610,0.0,0.0,0.0,3.3,5.31,0.0
20190115:1710,0.0,0.0,0.0,3.45,5.45,0.0
20190115:1810,0.0,0.0,0.0,3.56,5.38,0.0
20190115:1910,0.0,0.0,0.0,3.36,5.38,0.0
20190115:2010,0.0,0.0,0.0,3.28,5.17,0.0
20190115:2110,0.0,0.0,0.0,3.31,5.1,0.0
20190115:2210,0.0,0.0,0.0,3.23,4.97,0.0
20190115:2310,0.0,0.0,0.0,3.19,4.83,0.0
20190116:0010,0.0,0.0,0.0,3.18,4.69,0.0
20190116:0110,0.0,0.0,0.0,3.26,4.55,0.0
20190116:0210,0.0,0.0,0.0,3.23,4.34,0.0
20190116:0310,0.0,0.0,0.0,3.25,4.21,0.0
20190116:0410,0.0,0.0,0.0,3.19,4.14,0.0
20190116:0510,0.0,0.0,0.0,3.09,4.0,0.0
20190116:0610,0.0,0.0,0.0,3.04,3.93,0.0
20190116:0710,0.0,0.0,0.0,3.07,3.93,0.0
20190116:0810,14.58,29.01,6.6,3.08,4.07,0.0
20190116:0910,5.15,15.41,12.45,3.28,3.59,0.0
20190116:1010,43.87,65.28,16.42,3.47,3.86,0.0
